"UniqueID","SiteName","Prov","Prov_2","Year","Month","Day","DateObserved","Month_alpha","Observer_anon","Observer_contact_anon","Lat","Long","Source_anon","Source_type","SpeciesAlphaCode","CommonName","LatinName","GroupAs","Individual_HPAIVstatus","AgeClass","BreedingStatus","LandWater","Colony_Y_N","IFcolony_complete_partial_survey","IFcolony_boat_foot_heli_plane","n_FoundNeurological","n_FoundDead","TotalObserved","Comments","id","concatenated_ids_eccc","concatenated_ids_trevor","concatenated_ids_cwhc","concatenated_ids_cfia","Duplicate"
"MT-737","St. Bride's","NL","Newfoundland",2022,7,20,2022-07-20,"July","fb8c3a7ee3d1230fd5c67d6d9b4a757c","35bf944fdd9c278ee3434393e20c9007",46.92027,-54.174969,"d964586e64933d008f84b9451c2a97ed","Public","COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA
"CT-162","Green Island, Bay of Islands","NL","Newfoundland",2022,7,27,2022-07-27,"July","7537dbc04e7113c2a90d023297f80b06","831baa07a7fe2f265d8e19402c8f1c39",49.16314,-58.146014,"d964586e64933d008f84b9451c2a97ed","Public","Unknown Gull","Unknown Gull","Laridae sp. ","seabirds",NA,NA,NA,"Land","Y","Incidental (during ARU deployment)","Land/Boat","1","6","7",">200 Alive and Acting fine",NA,NA,NA,NA,NA,NA
"MT-1126","Trepassey, NL","NL","Newfoundland",2022,7,21,2022-07-21,"July","67b28ee2871851e24e5235aea70d503e","e60b106dbb54412e5e8e9b6b51ae5bdb",46.73612,-53.3603,"df5f3ae234ec98b8589a82d9bffd6182","Provincial","RAZO","Razorbill","Alca torda","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
"MT-1143","Shoal Bay Beach, NL","NL","Newfoundland",2022,7,21,2022-07-21,"July","16c64f93e4f0fc045f407f562249d515","53a63cde7ccfaef4090db83f0f68e723",46.99642,-53.6164,"df5f3ae234ec98b8589a82d9bffd6182","Provincial","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"5","5",NA,NA,NA,NA,NA,NA,NA
"MT-1144","Shoal Bay Beach, NL","NL","Newfoundland",2022,7,21,2022-07-21,"July","16c64f93e4f0fc045f407f562249d515","53a63cde7ccfaef4090db83f0f68e723",46.99642,-53.6164,"df5f3ae234ec98b8589a82d9bffd6182","Provincial","GRSH","Great Shearwater","Ardenna gravis","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
"MT-1145","Kipens, NL","NL","Newfoundland",2022,7,21,2022-07-21,"July","8d6ace2888ed5f8bcbd13afd182b4a15","cd27fba1a797163a7af7290bc418dd2e",48.5489,-58.6236,"df5f3ae234ec98b8589a82d9bffd6182","Provincial","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"4","4",NA,NA,NA,NA,NA,NA,NA
"MT-1146","Lower Pond, Witless Bay","NL","Newfoundland",2022,7,21,2022-07-21,"July","3d6ad725337e1a37c2066fdf0e197bda","1b1f1fdf53e06c6ef4eb422178e04c31",47.281591,-52.812376,"2f05ec00f6b4acd8dfffa81361aa339d","Public","BLKI","Black-legged Kittiwake","Rissa tridactyla","seabirds",NA,"Adult","breeding","Land",NA,NA,NA,"0","2","2",NA,NA,NA,NA,NA,NA,NA
"MT-1147","Lower Pond Beach, Witless Bay","NL","Newfoundland",2022,7,21,2022-07-21,"July","3d6ad725337e1a37c2066fdf0e197bda","1b1f1fdf53e06c6ef4eb422178e04c31",47.281469,-52.81023,"2f05ec00f6b4acd8dfffa81361aa339d","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,"Adult",NA,"Land",NA,NA,NA,"0","1","1",NA,NA,NA,NA,NA,NA,NA
"MT-1999","Cape Freels","NL","Newfoundland",2022,8,17,2022-08-17,"August","bcbac102f4bf67df61b53d34075f8759","1b1f1fdf53e06c6ef4eb422178e04c31",49.260353,-53.5,"d964586e64933d008f84b9451c2a97ed","Public","COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,NA,"100","100+ common murres, one still alive on the beach but near death",NA,NA,NA,NA,NA,NA
"MT-2000","Cape Freels","NL","Newfoundland",2022,8,17,2022-08-17,"August","bcbac102f4bf67df61b53d34075f8759","1b1f1fdf53e06c6ef4eb422178e04c31",49.260353,-53.5,"d964586e64933d008f84b9451c2a97ed","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA
"MT-2001","Cape Freels","NL","Newfoundland",2022,8,17,2022-08-17,"August","bcbac102f4bf67df61b53d34075f8759","1b1f1fdf53e06c6ef4eb422178e04c31",49.260353,-53.5,"d964586e64933d008f84b9451c2a97ed","Public","DOVE","Dovekie","Alle alle","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA
"MT-2002","Cape Freels","NL","Newfoundland",2022,8,17,2022-08-17,"August","bcbac102f4bf67df61b53d34075f8759","1b1f1fdf53e06c6ef4eb422178e04c31",49.260353,-53.5,"d964586e64933d008f84b9451c2a97ed","Public","SOSH","Sooty Shearwater","Ardenna grisea","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"MT-2003","Cape Freels","NL","Newfoundland",2022,8,17,2022-08-17,"August","bcbac102f4bf67df61b53d34075f8759","1b1f1fdf53e06c6ef4eb422178e04c31",49.260353,-53.5,"d964586e64933d008f84b9451c2a97ed","Public","HERG","Herring Gull","Larus argentatus","seabirds",NA,"Juvenile",NA,"Land",NA,NA,NA,NA,NA,"1","1 herring gull, juvenile, still alive but in obvious distress",NA,NA,NA,NA,NA,NA
"MT-1260","Musgrave Harbour","NL","Newfoundland",2022,7,29,2022-07-29,"July","a9f81a8951db3dfe009c43047e3b821d","1b1f1fdf53e06c6ef4eb422178e04c31",49.4418,-53.93,"d964586e64933d008f84b9451c2a97ed","Public","NOGA","Northern Gannet","Morus bassanus","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1","Potentiall the first Funk Island bird.",NA,NA,NA,NA,NA,NA
"MT-1990","Cape Freels","NL","Newfoundland",2022,8,16,2022-08-16,"August","50b8b2f73bc2a2cb671dc27f9da8ef0c","1b1f1fdf53e06c6ef4eb422178e04c31",49.260353,-53.5,"d964586e64933d008f84b9451c2a97ed","Public","COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,NA,"400","16 Aug 2022 - 400 birds [mostly murres] Cape Freels beaches [Bill Bryden]",NA,NA,NA,NA,NA,NA
"MT-1157","176 Harbour Road, Witless Bay","NL","Newfoundland",2022,7,22,2022-07-22,"July","36ed1e49e26ef9227515f112aa65e413","1b1f1fdf53e06c6ef4eb422178e04c31",47.28056,-52.8141,"df5f3ae234ec98b8589a82d9bffd6182","Provincial","Unknown Gull","Unknown Gull","Laridae sp. ","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
"MT-327","Point May to Lord's Cove (22 km via ATV) ","NL","Newfoundland",2022,7,17,2022-07-17,"July","b99aa883e692ac832d46a1087d8f6aa7","1b1f1fdf53e06c6ef4eb422178e04c31",46.899622,-55.937704,"d964586e64933d008f84b9451c2a97ed","Public","COMU","Common Murre","Uria aalge","seabirds",NA,NA,NA,"Land",NA,NA,NA,NA,"233","233","Number estimated from account: ""just E of Pt May to Lord's Cove 22 km by ATV - Bob Hennebery counted 257 birds of varying ages mostly murres, 7 - 8 gannets, 7 - 8 gulls, puffins ...""",NA,NA,NA,NA,NA,NA
