UniqueID,SiteName,Prov,Prov_2,Year,Month,Day,DateObserved,Month_alpha,Observer,Observer_anon,Observer_contact,Observer_contact_anon,Lat,Long,Source,Source_anon,SpeciesAlphaCode,Source_type,CommonName,LatinName,GroupAs,SpeciesGroup,Species_HPAIstatus,Individual_HPAIVstatus,AgeClass,BreedingStatus,LandWater,Colony_Y_N,IFcolony_complete_partial_survey,IFcolony_boat_foot_heli_plane,n_FoundNeurological,n_FoundDead,TotalObserved,Comments,id,concatenated_ids_eccc,concatenated_ids_trevor,concatenated_ids_cwhc,concatenated_ids_cfia,Species_HPAIstatus_DateApplicable,Region,Complete_Mortality_Dataset,HPAI_Mortality_Dataset_Baseline,Double_Count_Analysis_Dataset,Scenario_A_0day_1km,Scenario_B_1day_1km,Scenario_C_5day_1km,Scenario_D_0day_5km,Scenario_E_5day_5km,Scenario_F_1day_5km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-136,Sheep Island,NB,NB,2022,6,1,2022-06-01,June,,256d2b3e8358a321bd12051af6da4ceb,,6b50f36047790b20ecf6ce2fb2d5961a,44.58182,-66.7693,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,Adult,Incubation,Land,Y,Incidental,Foot,0,0,0,worked on island capturing COEI.  No signs of HPAI related mortality.  Live COEI swabbed tested negative,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-139,Outer Wood Island,NB,NB,2022,5,31,2022-05-31,May,,256d2b3e8358a321bd12051af6da4ceb,,6b50f36047790b20ecf6ce2fb2d5961a,44.60888,-66.8182,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,Adult,Incubation,Land,Y,Incidental,Foot,0,0,0,worked on island capturing COEI.  No signs of HPAI related mortality.  ,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-141,Western Green Island,NB,NB,2022,6,2,2022-06-02,June,,256d2b3e8358a321bd12051af6da4ceb,,6b50f36047790b20ecf6ce2fb2d5961a,44.60409,-66.8423,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,Adult,Incubation,Land,Y,Incidental,Foot,0,0,0,worked on island capturing COEI.  No signs of HPAI related mortality. ,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,exclude,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-143,South Green Island,NB,NB,2022,6,2,2022-06-02,June,,256d2b3e8358a321bd12051af6da4ceb,,6b50f36047790b20ecf6ce2fb2d5961a,44.61146,-66.7526,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,Adult,Incubation,Land,Y,Incidental,Foot,0,0,0,worked on island capturing COEI.  No signs of HPAI related mortality.  Live COEI swabbed tested negative,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,exclude,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-145,South Green Island,NB,NB,2022,6,3,2022-06-03,June,,256d2b3e8358a321bd12051af6da4ceb,,6b50f36047790b20ecf6ce2fb2d5961a,44.6884,-66.6957,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,Adult,Incubation,Land,Y,Incidental,Foot,0,0,0,worked on island capturing COEI.  No signs of HPAI related mortality.  Live COEI swabbed tested negative,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-149,Spruce Island,NB,NB,2022,6,5,2022-06-05,June,,256d2b3e8358a321bd12051af6da4ceb,,6b50f36047790b20ecf6ce2fb2d5961a,44.95882,-66.7296,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,Adult,Incubation,Land,Y,Incidental,Foot,0,0,0,worked on island capturing COEI.  No signs of HPAI related mortality.  Live COEI swabbed tested negative,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-152,Green Rock,NB,NB,2022,6,5,2022-06-05,June,,256d2b3e8358a321bd12051af6da4ceb,,6b50f36047790b20ecf6ce2fb2d5961a,44.96461,-66.7263,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,Adult,Incubation,Land,Y,Incidental,Foot,0,0,0,worked on island capturing COEI.  No signs of HPAI related mortality.  Live COEI swabbed tested negative,,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-189,3km south of Dog (Starvation),NL,Labrador,2022,7,4,2022-07-04,July,,59e4871814ffd04a7af1728816da0366,,f5918a98e5743c284e552ae616ebbceb,56.59762,-61.0309,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Incidental,Foot,0,0,0,"visited multiple times to retrieve BLGU tags, on July 12 evidence of fox. 5 disturbed COEI netss and 1 BLGU fox kill",,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-190,3km south of Dog (Starvation),NL,Labrador,2022,7,11,2022-07-11,July,,59e4871814ffd04a7af1728816da0366,,f5918a98e5743c284e552ae616ebbceb,56.59762,-61.0309,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Incidental,Foot,0,0,0,"visited multiple times to retrieve BLGU tags, on July 12 evidence of fox. 5 disturbed COEI netss and 1 BLGU fox kill",,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,retain,retain,retain,retain,retain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT-191,3km south of Dog (Starvation),NL,Labrador,2022,7,12,2022-07-12,July,,59e4871814ffd04a7af1728816da0366,,f5918a98e5743c284e552ae616ebbceb,56.59762,-61.0309,,ab094606ecbb68abe9471e2f6c0181e6,COEI,ECCC,Common Eider,Somateria mollissima,seabirds,COEI,presume positive,,,,Land,Y,Incidental,Foot,0,0,0,"visited multiple times to retrieve BLGU tags, on July 12 evidence of fox. 5 disturbed COEI netss and 1 BLGU fox kill",,,,,,2022-04-01 to 2022-09-30,,retain,retain,retain,retain,exclude,exclude,retain,exclude,exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
