ECCCUniqueID,DataEnteredBy,SiteName,Prov,Prov_2,Year,Month,Day,DateObserved,Observer,Observer_contact,Lat,Long,SpeciesAlphaCode,CommonName,LatinName,GroupAs,Species_HPAIstatus,Individual_HPAIVstatus,YN,AgeClass,BreedingStatus,LandWaterColony,IFcolony_complete_partial_survey,IFcolony_boat_land_heli_plane,n_FoundNeurological,n_FoundDead,TotalObserved,n_SwabCollected,n_CarcassesCollectedAtSite,n_CarcassesSentForTesting,WhereCarcassWasSent,WhoCollected,n_Photos,PhotoVideo,GoogleDriveLinkForPhotoVideo,Comments,Site_Geocoding,lat_geocoded,lon_geocoded,latlon_simple,lat_simple,lon_simple,id,
MT-2102,,Gulf of St Lawrence,NL,Newfoundland,2022,7,15,2021-11-30,Marine Atlantic Ferries,,,,NOGA,Northern Gannet,Morus bassanus,seabirds,,,,,,Water,,,,X,X,,,,,,,,,Report from Marine Atlantic ferry workers seeing many dead gannets every day on GSL crossings,"Gulf of St Lawrence, NL",53.13551,-57.6604,,,,,
CT-118,Tania Barychka,Gull Island,NL,Newfoundland,2022,,,2021-11-30,Steve Duffy,,,,,,,,,,,,,Colony,,Boat,,,,,,,,,,,,,,,,,,,,
CT-119,Tania Barychka,Gull Island,NL,Newfoundland,2022,,,2021-11-30,Steve Duffy,,,,,,,,,,,,,Colony,,Boat,,,,,,,,,,,,,,,,,,,,
CT-120,Tania Barychka,Gull Island,NL,Newfoundland,2022,,,2021-11-30,Steve Duffy,,,,,,,,,,,,,Colony,,Boat,,,,,,,,,,,,,,,,,,,,
CT-121,Tania Barychka,Great Island,NL,Newfoundland,2022,,,2021-11-30,Steve Duffy,,,,,,,,,,,,,Colony,,Boat,,,,,,,,,,,,,,,,,,,,
CT-122,Tania Barychka,Green Island,NL,Newfoundland,2022,,,2021-11-30,Steve Duffy,,,,,,,,,,,,,Colony,,Boat,,,,,,,,,,,,,,,,,,,,
MT-191,,Winterhouse,NL,Newfoundland,2022,5,10,2022-05-10,DFO officers,,48.69,-58.92,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,2,4,6,,5,5,"Animal Health, Brookfield Road",ECCC WED,,,,Reported to CWS by WED,"Winterhouse, NL",48.69564,-58.9266,"48.69, -58.92",48.69,-58.92,,
MT-241,,Bay of Islands,NL,Newfoundland,2022,5,13,2022-05-13,DFO officers,,49.21,-58.33,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,12,12,,,,,,,,,Reported to CWS by WED,"Bay of Islands, NL",49.17177,-58.2513,"49.21, -58.33",49.21,-58.33,,
MT-246,,Pasadena,NL,Newfoundland,2022,5,21,2022-05-21,Public,,48.99,-57.72,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,1,0,1,,,,,,,,,Was called in to Provincial Wildlife,"Pasadena, NL",49.01304,-57.5894,"48.99, -57.72",48.99,-57.72,,
MT-247,,Lord's Cove,NL,Newfoundland,2022,5,22,2022-05-22,Public,,46.88,-55.66,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,1,0,1,,,,,,,,,Reported on Facebook,"Lord's Cove, NL",,,"46.88, -55.66",46.88,-55.66,,
MT-248,,Bay of Islands,NL,Newfoundland,2022,5,22,2022-05-22,DFO officers,,49.21,-58.33,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,100,100,,,,,,,,,Reported to CWS by WED,"Bay of Islands, NL",49.17177,-58.2513,"49.21, -58.33",49.21,-58.33,,
MT-3373,TaniaBarychka,Caplin Cove,NL,Newfoundland,2022,5,22,2022-05-22,Cyril Lundrigan,Bill_Montevecchi_Lab,48.03594,-52.98601,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,2,2,,,,,,,,,,,,,,,,TB001,
MT-249,,Holyrood,NL,Newfoundland,2022,5,25,2022-05-25,Public,,47.39,-53.13,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,Negative,N,,,Land,,,1,1,2,,2,2,"Animal Health, Brookfield Road",CWS,,,,Tested negative,"Holyrood, NL",47.38496,-53.1247,"47.39, -53.13",47.39,-53.13,,
MT-252,,Offshore near Rocky Harbour,NL,Newfoundland,2022,5,27,2022-05-27,Public,,49.59,-57.96,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Water,,,,16,16,,0,0,,,,,,Some uncertainty re. coords since report was of birds seen offshore but vicinity of Rocky Harbour; Report from Sherry Pittman (ECCC-WED) from fisherman John Decker,"Offshore near Rocky Harbour, NL",49.59048,-57.9152,"49.59, -57.96",49.59,-57.96,,
MT-253,,Offshore Sally's Cove,NL,Newfoundland,2022,5,27,2022-05-27,Public,,49.74,-57.93,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Water,,,1,0,1,,0,0,,,,,,"Some uncertainty re. coordinates; Report from Sherry Pittman (ECCC-WED) from fisherman Freeman Gill who reported ""many dead off Sally’s Cove and several sick with their heads bobbing"" and at least one seen alive and suspected later dead in small pond near Sally's Cove; Sherry noted that BAEA nest near pond where one dead NOGA was observed","Offshore Sally's Cove, NL",49.73129,-57.9331,"49.74, -57.93",49.74,-57.93,,
MT-254,,Flat Bay,NL,Newfoundland,2022,5,27,2022-05-27,Public,,48.42,-58.58,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,27,27,,0,,,,,,,Report from River Guardian to Sherry Pittman,"Flat Bay, NL",48.39956,-58.5892,"48.42, -58.58",48.42,-58.58,,
MT-3374,TaniaBarychka,"RBGU Long Pond, CBS",NL,Newfoundland,2022,5,27,2022-05-27,Dave Wilson,Bill_Montevecchi_Lab,47.52219,-52.96437,RBGU,Ring-billed Gull,Larus delawarensis,seabirds,presume_positive,,,Adult,,,,,0,1,1,,,,,,,,,,,,,,,,TB002,
MT-3375,TaniaBarychka,"RBGU Long Pond, CBS",NL,Newfoundland,2022,5,27,2022-05-27,Dave Wilson,Bill_Montevecchi_Lab,47.52219,-52.96437,HERG,Herring Gull,Larus argentatus,seabirds,presume_positive,,,Adult,,,,,0,3,3,,,,,,,,,,,,,,,,TB003,
MT-255,,Port aux Basques Channel,NL,Newfoundland,2022,5,29,2022-05-29,Public,,47.57,-59.12,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,X,X,,,,,,,,,"Forwarded to C. Ward from GNL ""Paddys Pond Duty Officer""","Port aux Basques Channel, NL",47.57211,-59.1364,"47.57, -59.12",47.57,-59.12,,
MT-256,,Bay St George,NL,Newfoundland,2022,5,29,2022-05-29,Public,,48.52,-58.6,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,X,X,,,,,,,,,,"Bay St George, NL",48.38886,-58.6585,"48.52, -58.6",48.52,-58.6,,
MT-257,,Lark Harbour,NL,Newfoundland,2022,5,29,2022-05-29,"Kevin Champion, DFO",,49.1,-58.37,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,X,X,,,,,,,,,"""several""","Lark Harbour, NL",49.10195,-58.3645,"49.1, -58.37",49.1,-58.37,,
MT-3376,TaniaBarychka,"RBGU Long Pond, CBS",NL,Newfoundland,2022,5,29,2022-05-29,Dave Wilson,Bill_Montevecchi_Lab,47.52219,-52.96437,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB004,
MT-3377,TaniaBarychka,"RBGU Long Pond, CBS",NL,Newfoundland,2022,5,29,2022-05-29,Dave Wilson,Bill_Montevecchi_Lab,47.52219,-52.96437,LESP,Leach's Storm-Petrel,Hydrobates leucorhous,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB005,
MT-258,,Black Bank Beach (Stephenville Crossing),NL,Newfoundland,2022,5,30,2022-05-30,Public,,48.5,-58.4,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,12,12,,,,,,,,,"Reported to Dylan Decker, ECCC WED; WED may collect samples; coordinates estimated (could not find black bank beach)","Black Bank Beach (Stephenville Crossing), NL",48.528,-58.4468,"48.5, -58.4",48.5,-58.4,,
MT-259,,Hopall,NL,Newfoundland,2022,6,2,2022-06-02,Provincial CO,,47.61,-53.51,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,Negative,N,,,Land,,,1,0,1,,1,1,NL Animal Health,NL CO,,,,Tested negative,"Hopall, NL",47.61677,-53.509,"47.61, -53.51",47.61,-53.51,,
MT-260,,Holyrood,NL,Newfoundland,2022,6,3,2022-06-03,MUN students,,47.39,-53.13,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,Negative,N,,,Land,,,,1,1,,1,1,NL Animal Health,Tori and Robert,,,,Sub-adult; carcass perfectly intact; tested negative,"Holyrood, NL",47.38496,-53.1247,"47.39, -53.13",47.39,-53.13,,
MT-261,,Holyrood,NL,Newfoundland,2022,6,3,2022-06-03,MUN students,,47.39,-53.13,NOFU,Northern Fulmar,Fulmarus glacialis,seabirds,presume_positive,,,,,Land,,,,1,1,,1,1,NL Animal Health,Tori and Robert,,,,Carcass perfectly intact,"Holyrood, NL",47.38496,-53.1247,"47.39, -53.13",47.39,-53.13,,
MT-3378,TaniaBarychka,Holyrood Beach,NL,Newfoundland,2022,6,3,2022-06-03,Bobby Blackmore & Tori Burt,Bill_Montevecchi_Lab,47.38598,-53.13161,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,Negative,,Subadult,,,,,0,1,1,,,,,,,,,Neg,,,,,,,TB006,
